"","Estimate","Std. Error","t value"
"(Intercept)",0.21998987309025,0.0273914344549121,8.03133817078348
"medianFiles",-0.00849214990546366,0.00328223003011227,-2.58731101341279
"totalCommits",-0.000166216216492407,3.64192316186405e-05,-4.56396824164
"testChangesPerCommit",7.46342502563591e-05,1.47440069677379e-05,5.06200589973064
"countCommitsWithTests",0.000560405252341573,0.000168543230328082,3.32499413504004
"version:projectaframe",-0.00950035504342154,0.007361646421297,-1.29052042161891
"version:projectAloha-Editor",-0.000649536246207988,0.00726553017466478,-0.0893997038884993
"version:projectandroidannotations",0.00424263609738503,0.00728519410607613,0.582364180776805
"version:projectansible",0.00173005581870949,0.0072897769556977,0.23732630356506
"version:projectbackbone",0.00250227093462033,0.00727085601218504,0.344150802935286
"version:projectbokeh",-0.00564227186864473,0.00736948400487995,-0.76562644886786
"version:projectbootstrap",0.121931844897231,0.0074160788818687,16.4415517741239
"version:projectboto",0.00425828797748534,0.0072684704407654,0.58585750773679
"version:projectbuildbot",0.00226001774759666,0.00726608168596048,0.311036655693462
"version:projectbundler",0.00206650436858923,0.00728772643371438,0.283559541838618
"version:projectcakephp",0.00265227457267631,0.00730866357710203,0.362894603739302
"version:projectcas",0.00363858312715629,0.00735807421193951,0.494502096928049
"version:projectcesium",0.00627487595588922,0.00731322196940697,0.858017981969997
"version:projectchef",-0.000793487272630978,0.00726646639241593,-0.109198505818336
"version:projectCodeIgniter",0.00140371604148731,0.00728609460695667,0.192656850783554
"version:projectConversations",-0.00404178620981181,0.00743303263798306,-0.543760051470531
"version:projectcore",0.00320370056304018,0.00728871271265663,0.439542713417288
"version:projectCrafty",0.0298869853100134,0.00726595814184039,4.11328894642426
"version:projectcython",-0.000606129583224514,0.0072711242761704,-0.083361191502527
"version:projectdjango-cms",0.00391906803976303,0.00727239437198714,0.538896522836972
"version:projectdropwizard",0.00581565165760824,0.00727125796798044,0.799813688802946
"version:projecterpnext",0.00888240098841323,0.00728205521545106,1.21976567405951
"version:projectetherpad-lite",-0.00203370409795503,0.00726899797050528,-0.279777777653399
"version:projectfog",0.00209761106538418,0.00726599933772474,0.288688584719996
"version:projectfoundation-sites",-0.0150559373571186,0.00729831434903407,-2.06293352643973
"version:projectgaia",0.0204456074330208,0.0075851171869625,2.69548998770425
"version:projectgenerator-jhipster",-0.0306494810507889,0.00730269224222279,-4.1970111890488
"version:projectGhost",-0.081531410865088,0.00733466280948999,-11.1159044366154
"version:projectgollum",-0.002754309027725,0.00726827925865018,-0.378949257411515
"version:projectgrails-core",0.00108229829660982,0.0072759616268676,0.148749863195164
"version:projecthabitica",0.0856216732022327,0.00727010853907959,11.777220758395
"version:projecthapi",0.0721555416281099,0.00741928346791416,9.72540568643288
"version:projectHaraka",-0.000429211385715023,0.00726585184672715,-0.0590724108843973
"version:projecthumhub",-0.000966968608925996,0.00726584933353634,-0.133084043521635
"version:projectHystrix",0.0845098068459973,0.00727410829513962,11.6178923129952
"version:projectincubator-airflow",-0.00204897653088845,0.00732721384662952,-0.279639242661243
"version:projectinvoiceninja",-0.00188454584532552,0.00732109395919852,-0.257413148339354
"version:projectipython",-0.00163234669963375,0.00729428848965541,-0.223784225418108
"version:projectjsbin",0.00490842711984004,0.00726666766943414,0.675471528784289
"version:projectkeras",-0.0316297487682736,0.00729566079253849,-4.33541932221169
"version:projectkibana",0.0288533661979619,0.0073647894050392,3.91774490906958
"version:projectkivy",0.00176758477726572,0.00727794528929322,0.242868654133201
"version:projectlaravel",-0.00799834357496232,0.00727662353851862,-1.09918336885553
"version:projectLeaflet",0.00235600304758947,0.00727044654431785,0.324052041814513
"version:projectlogstash",0.00846985796589717,0.00726623738680515,1.16564564505939
"version:projectloomio",-0.00619223409991323,0.00727594352898158,-0.851055821866716
"version:projectmapbox-gl-js",0.000145774143958719,0.00728053612778601,0.0200224463418807
"version:projectmaterial-ui",-0.0105012005511797,0.00727730539820417,-1.44300671423946
"version:projectmatplotlib",-0.00107507996934869,0.00726930540290595,-0.147893080529938
"version:projectmetrics",-0.000699412825062575,0.00726764689823482,-0.0962364895895602
"version:projectmrjob",0.00450237554880974,0.00727172283778711,0.619162150324734
"version:projectng-cordova",-0.00458002412237972,0.0072869825706745,-0.628521349949624
"version:projectopenhab",0.000324657590643581,0.00727359721419712,0.0446350796013136
"version:projectp5.js",-0.0171738510918365,0.00727513285320802,-2.36062370795931
"version:projectpdf.js",-0.000185585670851858,0.0072667734330462,-0.0255389372686222
"version:projectphaser",-0.0130686653242556,0.00962865231015178,-1.35726838017371
"version:projectpicasso",0.00361918995356531,0.00744018322871626,0.486438282809571
"version:projectpuppet",0.0010249960740445,0.00732506969756332,0.139929873211372
"version:projectpyramid",0.00299314430150165,0.00732961290380085,0.408363216555342
"version:projectpyrocms",-0.00117757852697374,0.00726531743056271,-0.162082185427999
"version:projectrails",0.00638870782041586,0.00738919147790142,0.864601741546736
"version:projectrefinerycms",0.0258479062397779,0.00727214467857938,3.55437183695131
"version:projectrequest",0.023725406160354,0.00726550799845582,3.26548483125977
"version:projectrobolectric",-0.0009319272793463,0.00729099578469243,-0.127818929933123
"version:projectRxJava",0.0311724540246425,0.00730526499633739,4.26712159521541
"version:projectsalt",0.000853966923261622,0.00727593812862575,0.117368634554746
"version:projectscikit-image",0.00486809177130274,0.00727028011073756,0.669587924695363
"version:projectscikit-learn",0.0126653335479089,0.00736026673519095,1.72077099969127
"version:projectscipy",0.000349917437270695,0.00732929232986986,0.0477423223855649
"version:projectsensu",-0.0380631936182543,0.00728012452669718,-5.22837122890845
"version:projectsentry",0.0300669161863085,0.00727753534484104,4.1314696200854
"version:projectserverless",0.0339344821383853,0.00750331197257962,4.52260045462548
"version:projectserverspec",-0.00684843901637967,0.00739383544529218,-0.926236331204832
"version:projectspark-notebook",-0.00232882952097252,0.00726922134349843,-0.320368497659714
"version:projectspinnaker",-0.00137764879842976,0.00726560045580738,-0.189612518168214
"version:projectsympy",0.00044564438030103,0.0073619187958451,0.0605337266899142
"version:projectTelescope",-0.000428810971977039,0.00726531743056271,-0.0590216430424881
"version:projectTheano",0.00317103660446677,0.00726783817478067,0.436310843500924
"version:projecttitanium_mobile",0.00885227909732488,0.00727826671873738,1.21626198096524
"version:projectunderscore",0.0232394226345147,0.00726740976321984,3.19775867766929
"version:projectvanilla",-0.000710676375286715,0.00726571956160804,-0.0978122496004276
"version:projectyii",-0.00112797922663327,0.00726896176656519,-0.155177487907778
